#Day<>Time<>Vnu<>Venue<>Town, ST<>Band[<>Name]
# Christian's first gig
3	9:30 PM	Rhumb Line	The Rhumb Line	Gloucester, MA	The Runaround Sound
4	9:15 PM	Black Lobster	The Black Lobster	Salem, MA	Mile 21
11	7:00 PM	Parade	Flag Day Parade	Quincy, MA	Boston Fireman's Band
19	12:00 PM	Parade	Flag Day Parade	Brookline, MA	Boston Fireman's Band
26	11:30 PM	Parade	St. Peter's Fiesta Parade	Glocuester, MA	Boston Fireman's Band
# Josh Lentini's first gig
24	9:30 PM	Dog Bar	The Dog Bar	Gloucester, MA	The Runaround Sound	Fiesta Friday
24	9:15 PM	Minglewood	Minglewood (Latitude 43)	Gloucester, MA	100 Proof	Fiesta Friday
25	8:00 PM	Brew Pub	Cape Ann Brewing Company	Gloucester, MA	The Runaround Sound	Fiesta Saturday
